Time,OrionBMS Run-time (Sec),OrionBMS Charger-Safety Output,OrionBMS Is-Charging Power,OrionBMS Charge Current Limit,OrionBMS Pack Amperage,OrionBMS Pack Voltage,OrionBMS Pack State of Charge,CCS Battery DC Voltage,CCS Voltage Sense,CCS HVPreChargeFault,CCS Contactor Fault,CCS HVIL Fault,CCS BMS Comms Fault,CCS BMS Fault,CCS ECU Fault,CCS PTC Temp Fault,CCS Protocol Fault,CCS Incompatible Charger Fault,CCS Charge Mode,CCS Plug Present,CCS Inlet Motor,CCS Contactor Status,CCS HVPresent,CCS Inlet Fault,CCS Stop Charge Switch
Mon May 10 15:52:46 BST 2021,108.000000,0.000000,0.000000,214.000000,0.000000,372.300000,49.500000,357.900000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000
Mon May 10 15:52:46 BST 2021,108.000000,0.000000,0.000000,214.000000,0.000000,372.300000,49.500000,357.900000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000
Mon May 10 15:52:46 BST 2021,108.000000,0.000000,0.000000,214.000000,0.000000,372.300000,49.500000,357.900000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000
Mon May 10 15:52:46 BST 2021,108.000000,0.000000,0.000000,214.000000,0.000000,372.300000,49.500000,357.900000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000
Mon May 10 15:52:46 BST 2021,108.000000,0.000000,0.000000,214.000000,0.000000,372.300000,49.500000,357.900000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000
Mon May 10 15:52:46 BST 2021,108.000000,0.000000,0.000000,214.000000,0.000000,372.300000,49.500000,357.900000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000
Mon May 10 15:52:46 BST 2021,108.000000,0.000000,0.000000,214.000000,0.000000,372.300000,49.500000,357.900000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000
Mon May 10 15:52:47 BST 2021,108.000000,0.000000,0.000000,214.000000,0.000000,372.300000,49.500000,357.900000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000
Mon May 10 15:52:47 BST 2021,108.000000,0.000000,0.000000,214.000000,0.000000,372.300000,49.500000,357.900000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000
Mon May 10 15:52:47 BST 2021,108.000000,0.000000,0.000000,214.000000,0.000000,372.300000,49.500000,357.900000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000
Mon May 10 15:52:47 BST 2021,108.000000,0.000000,0.000000,214.000000,0.000000,372.300000,49.500000,357.900000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000
Mon May 10 15:52:47 BST 2021,108.000000,0.000000,0.000000,214.000000,0.000000,372.300000,49.500000,357.900000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000
Mon May 10 15:52:47 BST 2021,108.000000,0.000000,0.000000,214.000000,0.000000,372.300000,49.500000,357.900000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000
Mon May 10 15:52:47 BST 2021,108.000000,0.000000,0.000000,214.000000,0.000000,372.300000,49.500000,357.900000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000
