Time,CCL Reduced Due To J1772,Pack Charge Current Limit (CCL),Pack Charge Current Limit (CCL) kW,Pack Amperage (Current),Pack kW,Pack Voltage,J1772 AC Amp Limit,J1772 AC Power Limit,J1772 AC Voltage (0v = N/A)
Thu Nov 5 15:09:20 GMT 2020,0.000000,136.000000,43.500000,6.100000,-1.500000,296.700000,80.000000,18400.000000,0.000000
Thu Nov 5 15:09:20 GMT 2020,0.000000,136.000000,43.500000,6.100000,-1.500000,296.700000,80.000000,18400.000000,0.000000
Thu Nov 5 15:09:20 GMT 2020,0.000000,136.000000,43.500000,6.100000,-1.500000,296.700000,80.000000,18400.000000,0.000000
Thu Nov 5 15:09:20 GMT 2020,0.000000,136.000000,43.500000,6.100000,-1.500000,296.700000,80.000000,18400.000000,0.000000
Thu Nov 5 15:09:20 GMT 2020,0.000000,136.000000,43.500000,6.100000,-1.500000,296.700000,80.000000,18400.000000,0.000000
Thu Nov 5 15:09:20 GMT 2020,0.000000,136.000000,43.500000,6.100000,-1.500000,296.700000,80.000000,18400.000000,0.000000
Thu Nov 5 15:09:20 GMT 2020,0.000000,136.000000,43.500000,6.100000,-1.500000,296.700000,80.000000,18400.000000,0.000000
Thu Nov 5 15:09:21 GMT 2020,0.000000,136.000000,43.500000,6.100000,-1.500000,296.700000,80.000000,18400.000000,0.000000
Thu Nov 5 15:09:21 GMT 2020,0.000000,136.000000,43.500000,6.100000,-1.500000,296.700000,80.000000,18400.000000,0.000000
Thu Nov 5 15:09:21 GMT 2020,0.000000,136.000000,43.500000,6.100000,-1.500000,296.700000,80.000000,18400.000000,0.000000
Thu Nov 5 15:09:21 GMT 2020,0.000000,136.000000,43.500000,6.100000,-1.500000,296.700000,80.000000,18400.000000,0.000000
Thu Nov 5 15:09:21 GMT 2020,0.000000,136.000000,43.500000,6.100000,-1.500000,296.700000,80.000000,18400.000000,0.000000
Thu Nov 5 15:09:21 GMT 2020,0.000000,136.000000,43.500000,6.100000,-1.500000,296.700000,80.000000,18400.000000,0.000000
Thu Nov 5 15:09:21 GMT 2020,0.000000,136.000000,43.500000,6.100000,-1.500000,296.700000,80.000000,18400.000000,0.000000
Thu Nov 5 15:09:21 GMT 2020,0.000000,136.000000,43.500000,6.100000,-1.500000,296.700000,80.000000,18400.000000,0.000000
Thu Nov 5 15:09:21 GMT 2020,0.000000,136.000000,43.500000,6.100000,-1.500000,296.700000,80.000000,18400.000000,0.000000
Thu Nov 5 15:09:21 GMT 2020,0.000000,136.000000,43.500000,6.100000,-1.500000,296.700000,80.000000,18400.000000,0.000000
Thu Nov 5 15:09:22 GMT 2020,0.000000,136.000000,43.500000,6.100000,-1.500000,296.700000,80.000000,18400.000000,0.000000
Thu Nov 5 15:09:22 GMT 2020,0.000000,136.000000,43.500000,6.100000,-1.500000,296.700000,80.000000,18400.000000,0.000000
Thu Nov 5 15:09:22 GMT 2020,0.000000,136.000000,43.500000,6.100000,-1.500000,296.700000,80.000000,18400.000000,0.000000
Thu Nov 5 15:09:22 GMT 2020,0.000000,136.000000,43.500000,6.100000,-1.500000,296.700000,80.000000,18400.000000,0.000000
Thu Nov 5 15:09:22 GMT 2020,0.000000,136.000000,43.500000,6.100000,-1.500000,296.700000,80.000000,18400.000000,0.000000
Thu Nov 5 15:09:22 GMT 2020,0.000000,136.000000,43.500000,6.100000,-1.500000,296.700000,80.000000,18400.000000,0.000000
Thu Nov 5 15:09:22 GMT 2020,0.000000,149.000000,48.000000,6.100000,-1.200000,296.700000,80.000000,18400.000000,0.000000
Thu Nov 5 15:09:22 GMT 2020,0.000000,149.000000,48.000000,6.100000,-1.200000,296.700000,80.000000,18400.000000,0.000000
Thu Nov 5 15:09:22 GMT 2020,0.000000,149.000000,48.000000,6.100000,-1.200000,296.700000,80.000000,18400.000000,0.000000
Thu Nov 5 15:09:22 GMT 2020,0.000000,149.000000,48.000000,6.100000,-1.500000,296.700000,80.000000,18400.000000,0.000000
Thu Nov 5 15:09:23 GMT 2020,0.000000,136.000000,43.500000,6.100000,-1.500000,296.700000,80.000000,18400.000000,0.000000
