Time,Pack Amperage (Current),J1772 AC Amp Limit
Thu Nov 5 14:53:31 GMT 2020,1.000000,80.000000
Thu Nov 5 14:53:32 GMT 2020,1.000000,80.000000
Thu Nov 5 14:53:32 GMT 2020,1.000000,80.000000
Thu Nov 5 14:53:32 GMT 2020,1.000000,80.000000
Thu Nov 5 14:53:32 GMT 2020,1.000000,80.000000
Thu Nov 5 14:53:32 GMT 2020,1.000000,80.000000
Thu Nov 5 14:53:32 GMT 2020,1.000000,80.000000
Thu Nov 5 14:53:32 GMT 2020,1.000000,80.000000
Thu Nov 5 14:53:32 GMT 2020,1.000000,80.000000
Thu Nov 5 14:53:32 GMT 2020,1.000000,80.000000
Thu Nov 5 14:53:32 GMT 2020,1.000000,80.000000
Thu Nov 5 14:53:33 GMT 2020,1.000000,80.000000
Thu Nov 5 14:53:33 GMT 2020,1.000000,80.000000
Thu Nov 5 14:53:33 GMT 2020,1.000000,80.000000
Thu Nov 5 14:53:33 GMT 2020,1.000000,80.000000
Thu Nov 5 14:53:33 GMT 2020,1.000000,80.000000
Thu Nov 5 14:53:33 GMT 2020,1.000000,80.000000
Thu Nov 5 14:53:33 GMT 2020,1.000000,80.000000
Thu Nov 5 14:53:33 GMT 2020,1.000000,80.000000
Thu Nov 5 14:53:33 GMT 2020,1.000000,80.000000
Thu Nov 5 14:53:33 GMT 2020,1.000000,80.000000
Thu Nov 5 14:53:34 GMT 2020,1.000000,80.000000
Thu Nov 5 14:53:34 GMT 2020,1.000000,80.000000
Thu Nov 5 14:53:34 GMT 2020,1.000000,80.000000
Thu Nov 5 14:53:34 GMT 2020,1.000000,80.000000
Thu Nov 5 14:53:34 GMT 2020,1.000000,80.000000
Thu Nov 5 14:53:34 GMT 2020,1.000000,80.000000
Thu Nov 5 14:53:34 GMT 2020,1.000000,80.000000
Thu Nov 5 14:53:34 GMT 2020,1.000000,80.000000
Thu Nov 5 14:53:34 GMT 2020,1.000000,80.000000
Thu Nov 5 14:53:34 GMT 2020,1.000000,80.000000
Thu Nov 5 14:53:35 GMT 2020,1.000000,80.000000
Thu Nov 5 14:53:35 GMT 2020,1.000000,80.000000
Thu Nov 5 14:53:35 GMT 2020,1.000000,80.000000
Thu Nov 5 14:53:35 GMT 2020,1.000000,80.000000
Thu Nov 5 14:53:35 GMT 2020,1.000000,80.000000
Thu Nov 5 14:53:35 GMT 2020,1.000000,80.000000
Thu Nov 5 14:53:35 GMT 2020,1.000000,80.000000
Thu Nov 5 14:53:35 GMT 2020,1.000000,80.000000
Thu Nov 5 14:53:35 GMT 2020,1.000000,80.000000
Thu Nov 5 14:53:35 GMT 2020,1.000000,80.000000
Thu Nov 5 14:53:36 GMT 2020,1.000000,80.000000
Thu Nov 5 14:53:36 GMT 2020,1.000000,80.000000
Thu Nov 5 14:53:36 GMT 2020,1.000000,80.000000
Thu Nov 5 14:53:36 GMT 2020,1.000000,80.000000
Thu Nov 5 14:53:36 GMT 2020,1.000000,80.000000
Thu Nov 5 14:53:36 GMT 2020,1.000000,80.000000
Thu Nov 5 14:53:36 GMT 2020,1.000000,80.000000
Thu Nov 5 14:53:36 GMT 2020,1.000000,80.000000
Thu Nov 5 14:53:36 GMT 2020,1.000000,80.000000
Thu Nov 5 14:53:36 GMT 2020,1.000000,80.000000
Thu Nov 5 14:53:37 GMT 2020,1.000000,80.000000
Thu Nov 5 14:53:37 GMT 2020,1.000000,80.000000
Thu Nov 5 14:53:37 GMT 2020,1.000000,80.000000
Thu Nov 5 14:53:37 GMT 2020,1.000000,80.000000
Thu Nov 5 14:53:37 GMT 2020,1.000000,80.000000
Thu Nov 5 14:53:37 GMT 2020,1.000000,80.000000
Thu Nov 5 14:53:37 GMT 2020,1.000000,80.000000
Thu Nov 5 14:53:37 GMT 2020,1.000000,80.000000
Thu Nov 5 14:53:37 GMT 2020,1.000000,80.000000
Thu Nov 5 14:53:37 GMT 2020,1.000000,80.000000
Thu Nov 5 14:53:38 GMT 2020,1.000000,80.000000
Thu Nov 5 14:53:38 GMT 2020,1.000000,80.000000
Thu Nov 5 14:53:38 GMT 2020,1.000000,80.000000
Thu Nov 5 14:53:38 GMT 2020,1.000000,80.000000
Thu Nov 5 14:53:38 GMT 2020,1.000000,80.000000
Thu Nov 5 14:53:38 GMT 2020,1.000000,80.000000
Thu Nov 5 14:53:38 GMT 2020,1.000000,80.000000
Thu Nov 5 14:53:38 GMT 2020,1.000000,80.000000
Thu Nov 5 14:53:38 GMT 2020,1.000000,80.000000
Thu Nov 5 14:53:38 GMT 2020,1.000000,80.000000
Thu Nov 5 14:53:39 GMT 2020,1.000000,80.000000
Thu Nov 5 14:53:39 GMT 2020,1.000000,80.000000
Thu Nov 5 14:53:39 GMT 2020,1.000000,80.000000
Thu Nov 5 14:53:39 GMT 2020,1.000000,80.000000
Thu Nov 5 14:53:39 GMT 2020,1.000000,80.000000
Thu Nov 5 14:53:39 GMT 2020,1.000000,80.000000
Thu Nov 5 14:53:39 GMT 2020,1.000000,80.000000
Thu Nov 5 14:53:39 GMT 2020,1.000000,80.000000
Thu Nov 5 14:53:39 GMT 2020,1.000000,80.000000
Thu Nov 5 14:53:39 GMT 2020,1.000000,80.000000
Thu Nov 5 14:53:40 GMT 2020,1.000000,80.000000
Thu Nov 5 14:53:40 GMT 2020,1.000000,80.000000
Thu Nov 5 14:53:40 GMT 2020,1.000000,80.000000
Thu Nov 5 14:53:40 GMT 2020,1.000000,80.000000
Thu Nov 5 14:53:40 GMT 2020,1.000000,80.000000
Thu Nov 5 14:53:40 GMT 2020,1.000000,80.000000
Thu Nov 5 14:53:40 GMT 2020,1.000000,80.000000
Thu Nov 5 14:53:40 GMT 2020,1.000000,80.000000
Thu Nov 5 14:53:40 GMT 2020,1.000000,80.000000
Thu Nov 5 14:53:40 GMT 2020,1.000000,80.000000
Thu Nov 5 14:53:41 GMT 2020,1.000000,80.000000
Thu Nov 5 14:53:41 GMT 2020,1.000000,80.000000
Thu Nov 5 14:53:41 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:41 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:41 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:41 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:41 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:41 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:41 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:42 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:42 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:42 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:42 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:42 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:42 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:42 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:42 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:42 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:42 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:42 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:43 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:43 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:43 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:43 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:43 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:43 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:43 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:43 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:43 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:44 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:44 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:44 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:44 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:44 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:44 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:44 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:44 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:44 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:44 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:45 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:45 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:45 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:45 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:45 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:45 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:45 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:45 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:45 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:45 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:46 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:46 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:46 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:46 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:46 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:46 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:46 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:46 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:46 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:46 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:47 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:47 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:47 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:47 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:47 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:47 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:47 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:47 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:47 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:47 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:48 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:48 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:48 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:48 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:48 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:48 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:48 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:48 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:48 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:48 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:49 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:49 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:49 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:49 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:49 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:49 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:49 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:49 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:49 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:49 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:50 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:50 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:50 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:50 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:50 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:50 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:50 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:50 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:50 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:50 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:51 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:51 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:51 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:51 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:51 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:51 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:51 GMT 2020,1.100000,80.000000
Thu Nov 5 14:53:51 GMT 2020,1.100000,80.000000
